FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
55.623425,141.687241,-25.742958,-48.196636,873.454712,305.616791
55.300838,139.407257,-25.766422,-47.668144,872.654724,300.826477
54.88728,136.975891,-25.783234,-47.068279,871.680298,295.689056
54.390079,134.408173,-25.793674,-46.40292,870.54541,290.237976
53.816174,131.718521,-25.798012,-45.677696,869.263428,284.50531
53.172195,128.920532,-25.796509,-44.897999,867.847046,278.521576
52.464474,126.027122,-25.789436,-44.068977,866.308716,272.315613
51.699116,123.050522,-25.777058,-43.195522,864.660034,265.914886
50.88205,120.002304,-25.759649,-42.282337,862.912476,259.345367
50.01897,116.893532,-25.737486,-41.333904,861.077087,252.631882
49.115337,113.734741,-25.710844,-40.354534,859.164307,245.79805
48.176289,110.536018,-25.679995,-39.348324,857.183899,238.86644
47.206635,107.306854,-25.645195,-38.31918,855.145386,231.858414
46.210911,104.056221,-25.606689,-37.270809,853.057373,224.793991
45.19339,100.792412,-25.564705,-36.206692,850.92804,217.69191
44.15818,97.523155,-25.519461,-35.130093,848.765381,210.56955
43.109238,94.255646,-25.471161,-34.044098,846.577026,203.443329
42.050354,90.996666,-25.420015,-32.951591,844.370117,196.328613
40.985123,87.752647,-25.366226,-31.855289,842.151733,189.239914
39.916843,84.52964,-25.310001,-30.757759,839.92804,182.190964
38.848564,81.333298,-25.251553,-29.661434,837.705078,175.194504
37.783062,78.1688,-25.191093,-28.568584,835.488098,168.262238
36.722935,75.040848,-25.128834,-27.481339,833.282166,161.404892
35.67065,71.953667,-25.064983,-26.401665,831.09198,154.63208
34.628609,68.911102,-24.999739,-25.331388,828.92218,147.952652
33.599091,65.91671,-24.93329,-24.272207,826.776978,141.374802
32.584232,62.973797,-24.865812,-23.225685,824.660583,134.906067
31.585939,60.085426,-24.797474,-22.193253,822.576477,128.553543
30.605892,57.254379,-24.728451,-21.176218,820.528015,122.32354
29.645536,54.483078,-24.658922,-20.175753,818.517761,116.221642
28.706215,51.773582,-24.589071,-19.192911,816.548462,110.252602
27.789185,49.127605,-24.519093,-18.228634,814.622437,104.420479
26.895687,46.546581,-24.449181,-17.283789,812.742065,98.728745
26.026897,44.031773,-24.379526,-16.35914,810.909485,93.180428
25.183876,41.58429,-24.31032,-15.455391,809.126526,87.778244
24.367487,39.205109,-24.241762,-14.573164,807.395142,82.524544
23.578407,36.895035,-24.174026,-13.712998,805.716187,77.421234
22.817146,34.654625,-24.107294,-12.875349,804.091003,72.469696
22.084141,32.484165,-24.041725,-12.06057,802.520264,67.670723
21.37981,30.383699,-23.977476,-11.268926,801.004578,63.024601
20.704576,28.353077,-23.914711,-10.500601,799.544983,58.531246
20.058834,26.392044,-23.853577,-9.755722,798.141968,54.190327
19.442879,24.500311,-23.794239,-9.034363,796.796082,50.001373
18.856857,22.67753,-23.736847,-8.336556,795.50769,45.963772
18.300747,20.923256,-23.681551,-7.662305,794.276794,42.076649
17.77441,19.236895,-23.628498,-7.011558,793.103149,38.338787
17.277668,17.61767,-23.577833,-6.38422,791.986389,34.748528
16.810368,16.064621,-23.52969,-5.780143,790.92627,31.30386
16.372398,14.576698,-23.484196,-5.199136,789.922546,28.002567
15.963651,13.152802,-23.441465,-4.640972,788.974976,24.842356
15.583946,11.791853,-23.401604,-4.105385,788.083191,21.820946
